section,longitude,latitude,name,Hiragana,Category,住所,便器男女合計,男性用小,男性用大計,男性用洋式,男性用和式,女性用計,女性用洋式,女性用和式,多機能トイレ,便器大,子供用小便器,ベビーベッド,ベビーチェア,オストメイト,備考,参考
Toilet,139.580634,35.319998,光触寺,こうそくじ,公設トイレ,十二所790,3,1,1,1,0,1,1,0,なし,,,,,,,
Toilet,139.569422,35.320136,報国寺,ほうこくじ,公設トイレ,浄明寺2-7-4,7,2,1,1,0,3,1,2,あり,1,0,あり,あり,あり,男性・女性用ともにベビーチェアあり。,
Toilet,139.571187,35.322838,浄妙寺,じょうみょうじ,公設トイレ,浄明寺3-8-31,3,1,1,1,0,1,1,0,なし,,,,,,,
Toilet,139.571235,35.323678,浄妙寺　境内左手奥,じょうみょうじけいだいひだりておく,私設トイレ,浄明寺3-8-31,5,1,1,1,0,3,3,0,なし,,,,,,境内左手の奥、石窯ガーデンテラスへの坂道の途中。,
Toilet,139.564295,35.325604,荏柄天神社,えがらてんじんしゃ,公設トイレ,二階堂74,3,1,1,1,0,1,1,0,なし,,,,,,男性用にベビーチェア、女性用にベビーベッド、ベビーチェアあり。,
Toilet,139.566311,35.325435,鎌倉宮,かまくらぐう,公設トイレ,二階堂154,14,5,3,2,1,5,3,2,あり,1,0,あり,あり,あり(ジャバメイト),男性用内にベビーチェア。女性用内にベビーベッド1、小児男子用小便器1。,
Toilet,139.564188,35.330988,覚園寺,かくおんじ,公設トイレ,二階堂421　寺施設複合,6,3,1,1,0,2,1,1,なし,,,,,,,
Toilet,139.574448,35.336529,天園,てんえん,公設トイレ,二階堂556,7,3,1,1,0,3,3,0,なし,,,,,,,
Toilet,139.57334,35.32689,瑞泉寺,ずいせんじ,公設トイレ,二階堂708-1,6,3,1,1,0,2,1,1,なし,,,,,,女性用内にベビーチェアあり。,
Toilet,139.555212,35.325037,鶴岡八幡宮（美術館脇）,つるがおかはちまんぐう（かまくらぶんかかんつるがおかみゅーじあむきたがわ）,公設トイレ,雪ノ下2-1-31,19,5,3,1,2,10,9,1,あり,1,0,あり,あり,あり(ジャバメイト),鎌倉文華館は鶴岡八幡宮に戻った旧県立近代美術館が改修され、2019年6月にオープン。,
Toilet,139.55642,35.325224,鶴岡八幡宮（社務所内）,つるがおかはちまんぐう（きゅうけいしょない）,公設トイレ,雪ノ下2-1-31,12,5,2,1,1,5,4,1,なし,,,,,,,
Toilet,139.556062,35.326633,鶴岡八幡宮（休憩所脇）,つるがおかはちまんぐううら（きたちゅうしゃじょうわききゅうけいしょない）,公設トイレ,雪ノ下2-1-31,7,3,1,1,0,2,2,0,あり,1,0,あり,,あり(ジャバメイト),休憩所は境内北側の広い駐車場脇にあります。,
Toilet,139.550301,35.324045,寿福寺,じゅふくじ,公設トイレ,扇ガ谷1-17-7,5,1,1,1,0,2,1,1,あり,1,0,あり,あり,あり(ジャバメイト),女性用内にベビーチェアあり。,
Toilet,139.551558,35.326351,浄光明寺,じょうこうみょうじ,公設トイレ,扇ガ谷2-12-1,3,1,1(車椅子対応),1,0,1(車椅子対応),1,0,なし,,,,,,多機能トイレはないが、男性用大、女性用ともバリアフリーで車椅子対応。,
Toilet,139.545502,35.328857,海蔵寺,かいぞうじ,公設トイレ,扇ガ谷4-18-8,4,1,1,1,0,2,1,1,なし,,,,,,男性用大・女性用にベビーチェアあり。,
Toilet,139.550684,35.318723,鎌倉駅　東口,かまくらえきひがしぐち,公設トイレ,小町1-1,15,5,3,2,1,6,5,1,あり,1,0,あり,,あり(ジャバメイト),男性用大・女性用にベビーチェアあり。,
Toilet,139.553077,35.317146,本覚寺,ほんがくじ,公設トイレ,小町1-12-12,6,2,1,1,0,2,2,0,あり,1,0,あり,あり,あり,2019年3月22日に工事完了、使用できます。男性用大は、奥の広いスペースに洋式１があり、さらにベッド１、ベビーチェア１があります。女性用も奥の同様のスペースに洋式１、ベッド１、ベビーチェア１があります。女性用の洋式２にはここを含みます。,
Toilet,139.556977,35.31728,妙本寺,みょうほんじ,公設トイレ,大町1-15-1,6,2,1,1,0,2,2,0,あり,1,0,1,3,あり（TOTO簡易）,ベビーチェア３台のうち、多機能トイレ内１、男子用内１、女子用内１,
Toilet,139.558613,35.31263,妙法寺,みょうほうじ,公設トイレ,大町4-7-3,3,1,1,1,0,1,1,0,なし,,,,,,修理完了、2019年4月より使用可。,
Toilet,139.547881,35.307126,材木座海岸　第一,ざいもくざかいがんだいいち,公設トイレ,材木座海岸（網干場）,8,3,1,0,1,3,1,2,あり,1,0,あり,あり,あり(ジャバメイト),男性用・女性用の一部にベビーチェアあり。トイレ建屋はバリアフリーであるが、建屋までの砂の堆積に注意。,
